evals.q.250.	_.mt2mo.mmIOneMax.25.2.ga.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.ga.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.ga.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.ga.33.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.ga.33.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.ga.33.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.nsga2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.nsga2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.nsga2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.me.2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.me.2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.me.2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.cabea.e.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.cabea.e.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.cabea.e.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.cabea.cc.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.cabea.cc.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.cabea.cc.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.cabea.e.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.cabea.e.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.cabea.e.21.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.25.2.cabea.cc.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.25.2.cabea.cc.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.25.2.cabea.cc.21.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.ga.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.ga.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.ga.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.ga.33.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.ga.33.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.ga.33.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.nsga2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.nsga2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.nsga2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.me.2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.me.2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.me.2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.cabea.e.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.cabea.e.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.cabea.e.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.cabea.cc.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.cabea.cc.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.cabea.cc.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.cabea.e.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.cabea.e.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.cabea.e.21.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.100.2.cabea.cc.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.100.2.cabea.cc.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.100.2.cabea.cc.21.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.ga.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.ga.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.ga.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.ga.33.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.ga.33.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.ga.33.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.nsga2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.nsga2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.nsga2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.me.2.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.me.2.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.me.2.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.cabea.e.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.cabea.e.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.cabea.e.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.cabea.cc.11.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.cabea.cc.11.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.cabea.cc.11.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.cabea.e.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.cabea.e.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.cabea.e.21.firsts.each.fitness.hypervolume.max	_.mt2mo.mmIOneMax.250.2.cabea.cc.21.firsts.each.fitness.hypervolume	_.mt2mo.mmIOneMax.250.2.cabea.cc.21.firsts.each.fitness.hypervolume.min	_.mt2mo.mmIOneMax.250.2.cabea.cc.21.firsts.each.fitness.hypervolume.max
2.500e+03	3.016e-01	2.816e-01	3.032e-01	2.816e-01	2.616e-01	3.024e-01	3.904e-01	3.696e-01	4.064e-01	1.448e-01	1.336e-01	1.632e-01	1.608e-01	1.432e-01	1.832e-01	1.968e-01	1.736e-01	2.264e-01	nan	nan	nan	nan	nan	nan	2.103e-01	2.023e-01	2.167e-01	1.664e-01	1.536e-01	1.774e-01	2.109e-01	1.943e-01	2.223e-01	9.500e-02	8.400e-02	1.041e-01	8.360e-02	6.780e-02	9.125e-02	1.011e-01	8.970e-02	1.085e-01	nan	nan	nan	nan	nan	nan	1.519e-01	1.464e-01	1.572e-01	1.209e-01	1.155e-01	1.255e-01	1.407e-01	1.320e-01	1.441e-01	7.613e-02	6.633e-02	8.138e-02	7.004e-02	5.906e-02	7.387e-02	7.575e-02	7.156e-02	8.057e-02	nan	nan	nan	nan	nan	nan
2.750e+03	2.824e-01	2.816e-01	3.024e-01	2.824e-01	2.616e-01	3.016e-01	3.904e-01	3.832e-01	4.208e-01	1.552e-01	1.336e-01	1.664e-01	1.736e-01	1.600e-01	2.016e-01	2.024e-01	1.808e-01	2.288e-01	1.264e-01	1.128e-01	1.368e-01	1.344e-01	1.184e-01	1.472e-01	2.158e-01	2.114e-01	2.223e-01	1.770e-01	1.603e-01	1.846e-01	2.192e-01	2.106e-01	2.330e-01	9.940e-02	8.915e-02	1.062e-01	8.780e-02	7.965e-02	9.510e-02	1.023e-01	9.600e-02	1.133e-01	7.100e-02	5.935e-02	7.480e-02	7.210e-02	6.725e-02	8.265e-02	1.590e-01	1.525e-01	1.631e-01	1.250e-01	1.169e-01	1.295e-01	1.462e-01	1.388e-01	1.535e-01	7.773e-02	6.882e-02	8.400e-02	7.115e-02	6.076e-02	7.656e-02	7.695e-02	7.186e-02	8.394e-02	5.711e-02	5.294e-02	6.426e-02	5.856e-02	5.241e-02	6.592e-02
3.000e+03	2.824e-01	2.808e-01	3.016e-01	2.816e-01	2.616e-01	3.016e-01	3.904e-01	3.840e-01	4.208e-01	1.600e-01	1.408e-01	1.688e-01	1.808e-01	1.600e-01	1.992e-01	2.120e-01	1.968e-01	2.288e-01	1.280e-01	1.192e-01	1.448e-01	1.344e-01	1.240e-01	1.480e-01	2.245e-01	2.157e-01	2.317e-01	1.811e-01	1.671e-01	1.896e-01	2.337e-01	2.163e-01	2.433e-01	1.013e-01	9.130e-02	1.097e-01	9.035e-02	8.200e-02	9.855e-02	1.048e-01	9.745e-02	1.170e-01	7.275e-02	6.285e-02	7.680e-02	7.210e-02	6.910e-02	8.225e-02	1.640e-01	1.584e-01	1.691e-01	1.271e-01	1.217e-01	1.326e-01	1.544e-01	1.485e-01	1.598e-01	8.114e-02	6.910e-02	8.800e-02	7.235e-02	6.416e-02	7.656e-02	7.992e-02	7.293e-02	8.622e-02	5.919e-02	5.215e-02	6.591e-02	6.202e-02	5.355e-02	6.682e-02
3.250e+03	2.824e-01	2.816e-01	3.024e-01	2.816e-01	2.616e-01	3.016e-01	3.904e-01	3.880e-01	4.216e-01	1.544e-01	1.408e-01	1.800e-01	1.904e-01	1.728e-01	2.128e-01	2.184e-01	2.032e-01	2.344e-01	nan	nan	nan	1.416e-01	1.256e-01	1.552e-01	2.282e-01	2.202e-01	2.365e-01	1.850e-01	1.711e-01	1.932e-01	2.450e-01	2.330e-01	2.533e-01	1.022e-01	9.500e-02	1.113e-01	9.305e-02	8.335e-02	1.002e-01	1.094e-01	9.870e-02	1.183e-01	nan	nan	nan	7.405e-02	7.020e-02	8.480e-02	1.685e-01	1.629e-01	1.742e-01	1.308e-01	1.255e-01	1.360e-01	1.634e-01	1.557e-01	1.704e-01	8.410e-02	7.122e-02	8.974e-02	7.266e-02	6.868e-02	7.946e-02	8.298e-02	7.601e-02	8.868e-02	nan	nan	nan	6.131e-02	5.302e-02	6.829e-02
3.500e+03	2.816e-01	2.816e-01	3.024e-01	2.816e-01	2.608e-01	2.824e-01	4.056e-01	3.896e-01	4.304e-01	1.600e-01	1.456e-01	1.800e-01	2.024e-01	1.808e-01	2.200e-01	2.288e-01	2.128e-01	2.496e-01	1.344e-01	1.232e-01	1.504e-01	1.424e-01	1.288e-01	1.536e-01	2.300e-01	2.247e-01	2.385e-01	1.900e-01	1.755e-01	1.988e-01	2.513e-01	2.385e-01	2.637e-01	1.066e-01	1.003e-01	1.162e-01	9.470e-02	8.690e-02	1.017e-01	1.161e-01	1.047e-01	1.236e-01	7.330e-02	6.610e-02	7.540e-02	8.040e-02	7.020e-02	8.855e-02	1.733e-01	1.659e-01	1.769e-01	1.327e-01	1.280e-01	1.394e-01	1.672e-01	1.590e-01	1.751e-01	8.509e-02	7.463e-02	9.224e-02	7.456e-02	5.974e-02	8.074e-02	8.350e-02	7.697e-02	8.918e-02	6.158e-02	5.449e-02	6.699e-02	6.144e-02	5.426e-02	6.860e-02
3.750e+03	2.824e-01	2.808e-01	3.024e-01	2.816e-01	2.608e-01	3.016e-01	4.104e-01	3.904e-01	4.320e-01	1.704e-01	1.456e-01	1.816e-01	2.032e-01	1.856e-01	2.248e-01	2.408e-01	2.280e-01	2.576e-01	nan	nan	nan	nan	nan	nan	2.380e-01	2.281e-01	2.462e-01	1.945e-01	1.793e-01	2.060e-01	2.603e-01	2.499e-01	2.693e-01	1.103e-01	9.865e-02	1.184e-01	9.715e-02	9.205e-02	1.068e-01	1.208e-01	1.092e-01	1.274e-01	nan	nan	nan	nan	nan	nan	1.780e-01	1.691e-01	1.844e-01	1.381e-01	1.312e-01	1.421e-01	1.728e-01	1.664e-01	1.795e-01	8.454e-02	7.346e-02	9.154e-02	7.569e-02	6.871e-02	8.084e-02	8.616e-02	8.011e-02	9.082e-02	nan	nan	nan	nan	nan	nan
4.000e+03	2.816e-01	2.808e-01	3.016e-01	2.808e-01	2.608e-01	2.824e-01	4.104e-01	3.904e-01	4.320e-01	1.752e-01	1.520e-01	1.856e-01	2.104e-01	1.928e-01	2.312e-01	2.480e-01	2.320e-01	2.616e-01	1.352e-01	1.248e-01	1.528e-01	1.504e-01	1.312e-01	1.720e-01	2.388e-01	2.313e-01	2.468e-01	2.000e-01	1.895e-01	2.100e-01	2.668e-01	2.564e-01	2.773e-01	1.120e-01	9.950e-02	1.227e-01	1.031e-01	9.460e-02	1.172e-01	1.242e-01	1.098e-01	1.291e-01	7.345e-02	6.130e-02	7.580e-02	7.695e-02	7.040e-02	8.710e-02	1.811e-01	1.744e-01	1.858e-01	1.393e-01	1.332e-01	1.450e-01	1.815e-01	1.705e-01	1.884e-01	8.665e-02	7.636e-02	9.400e-02	7.752e-02	7.322e-02	8.084e-02	8.667e-02	7.994e-02	9.386e-02	6.221e-02	5.508e-02	6.600e-02	5.934e-02	5.353e-02	6.730e-02
4.250e+03	2.824e-01	2.816e-01	3.016e-01	2.808e-01	2.608e-01	2.816e-01	4.112e-01	3.904e-01	4.320e-01	1.760e-01	1.544e-01	1.872e-01	2.168e-01	1.888e-01	2.344e-01	2.512e-01	2.352e-01	2.680e-01	nan	nan	nan	1.520e-01	1.312e-01	1.720e-01	2.440e-01	2.336e-01	2.511e-01	2.044e-01	1.949e-01	2.142e-01	2.702e-01	2.591e-01	2.841e-01	1.159e-01	1.016e-01	1.242e-01	1.089e-01	9.840e-02	1.189e-01	1.279e-01	1.123e-01	1.365e-01	nan	nan	nan	8.020e-02	7.225e-02	8.820e-02	1.835e-01	1.768e-01	1.898e-01	1.433e-01	1.369e-01	1.497e-01	1.859e-01	1.776e-01	1.939e-01	8.946e-02	7.762e-02	9.600e-02	7.985e-02	7.541e-02	8.522e-02	9.042e-02	8.371e-02	9.554e-02	nan	nan	nan	6.235e-02	5.578e-02	7.042e-02
4.500e+03	2.824e-01	2.624e-01	3.016e-01	2.808e-01	2.608e-01	2.824e-01	4.112e-01	3.904e-01	4.320e-01	1.800e-01	1.696e-01	1.896e-01	2.176e-01	1.992e-01	2.408e-01	2.632e-01	2.568e-01	2.768e-01	1.392e-01	1.296e-01	1.544e-01	1.528e-01	1.368e-01	1.736e-01	2.438e-01	2.382e-01	2.538e-01	2.085e-01	1.949e-01	2.169e-01	2.777e-01	2.648e-01	2.906e-01	1.170e-01	1.047e-01	1.232e-01	1.097e-01	1.033e-01	1.187e-01	1.321e-01	1.175e-01	1.413e-01	7.190e-02	6.315e-02	7.660e-02	7.940e-02	6.925e-02	8.840e-02	1.872e-01	1.800e-01	1.924e-01	1.450e-01	1.388e-01	1.524e-01	1.903e-01	1.808e-01	1.978e-01	9.078e-02	7.995e-02	9.787e-02	7.951e-02	7.590e-02	8.635e-02	9.166e-02	8.513e-02	9.636e-02	6.221e-02	5.527e-02	6.607e-02	6.398e-02	5.622e-02	7.040e-02
4.750e+03	2.816e-01	2.640e-01	3.024e-01	2.808e-01	2.616e-01	2.824e-01	4.112e-01	3.912e-01	4.328e-01	1.816e-01	1.752e-01	1.984e-01	2.216e-01	2.080e-01	2.464e-01	2.672e-01	2.576e-01	2.864e-01	1.424e-01	1.296e-01	1.568e-01	nan	nan	nan	2.470e-01	2.416e-01	2.542e-01	2.132e-01	1.997e-01	2.205e-01	2.821e-01	2.738e-01	2.915e-01	1.181e-01	1.063e-01	1.250e-01	1.121e-01	1.035e-01	1.212e-01	1.332e-01	1.273e-01	1.410e-01	7.075e-02	6.480e-02	7.880e-02	nan	nan	nan	1.910e-01	1.835e-01	1.965e-01	1.476e-01	1.421e-01	1.534e-01	1.959e-01	1.879e-01	2.037e-01	9.082e-02	8.062e-02	9.852e-02	8.173e-02	7.710e-02	8.556e-02	9.546e-02	8.942e-02	9.834e-02	6.290e-02	5.614e-02	6.811e-02	nan	nan	nan
5.000e+03	2.824e-01	2.816e-01	3.024e-01	2.808e-01	2.608e-01	3.008e-01	4.112e-01	3.912e-01	4.328e-01	1.840e-01	1.760e-01	1.984e-01	2.336e-01	2.136e-01	2.584e-01	2.728e-01	2.608e-01	2.992e-01	nan	nan	nan	1.584e-01	1.392e-01	1.784e-01	2.490e-01	2.422e-01	2.546e-01	2.179e-01	2.043e-01	2.260e-01	2.898e-01	2.784e-01	2.987e-01	1.199e-01	1.095e-01	1.287e-01	1.120e-01	1.003e-01	1.208e-01	1.338e-01	1.277e-01	1.465e-01	nan	nan	nan	8.275e-02	7.375e-02	8.915e-02	1.939e-01	1.872e-01	1.979e-01	1.501e-01	1.442e-01	1.557e-01	2.000e-01	1.899e-01	2.069e-01	9.240e-02	8.290e-02	9.899e-02	8.349e-02	7.898e-02	8.906e-02	9.733e-02	9.218e-02	1.038e-01	nan	nan	nan	6.506e-02	5.674e-02	7.278e-02
5.250e+03	2.824e-01	2.816e-01	3.024e-01	2.808e-01	2.608e-01	3.008e-01	4.112e-01	3.912e-01	4.328e-01	1.840e-01	1.744e-01	1.976e-01	2.288e-01	2.136e-01	2.568e-01	2.840e-01	2.648e-01	3.072e-01	1.424e-01	1.264e-01	1.672e-01	1.656e-01	1.504e-01	1.776e-01	2.497e-01	2.440e-01	2.570e-01	2.206e-01	2.085e-01	2.294e-01	2.931e-01	2.833e-01	3.053e-01	1.229e-01	1.147e-01	1.287e-01	1.135e-01	1.010e-01	1.252e-01	1.411e-01	1.322e-01	1.487e-01	7.270e-02	6.490e-02	7.725e-02	8.295e-02	7.415e-02	9.190e-02	1.975e-01	1.896e-01	2.017e-01	1.518e-01	1.477e-01	1.591e-01	2.057e-01	1.975e-01	2.122e-01	9.422e-02	8.421e-02	1.011e-01	8.411e-02	7.953e-02	9.086e-02	9.879e-02	9.594e-02	1.029e-01	6.420e-02	5.654e-02	6.866e-02	6.571e-02	5.656e-02	7.242e-02
5.500e+03	2.832e-01	2.816e-01	3.024e-01	2.816e-01	2.616e-01	3.008e-01	4.112e-01	3.912e-01	4.328e-01	1.888e-01	1.744e-01	1.976e-01	2.344e-01	2.176e-01	2.568e-01	2.848e-01	2.672e-01	3.136e-01	nan	nan	nan	1.648e-01	1.552e-01	1.776e-01	2.496e-01	2.449e-01	2.596e-01	2.259e-01	2.104e-01	2.333e-01	2.953e-01	2.856e-01	3.095e-01	1.230e-01	1.121e-01	1.289e-01	1.181e-01	1.078e-01	1.281e-01	1.418e-01	1.340e-01	1.518e-01	nan	nan	nan	8.640e-02	7.735e-02	9.475e-02	1.996e-01	1.928e-01	2.042e-01	1.542e-01	1.484e-01	1.605e-01	2.090e-01	2.008e-01	2.142e-01	9.736e-02	8.439e-02	1.036e-01	8.475e-02	8.070e-02	9.253e-02	1.009e-01	9.739e-02	1.053e-01	nan	nan	nan	6.762e-02	5.705e-02	7.461e-02
5.750e+03	2.824e-01	2.816e-01	3.024e-01	2.816e-01	2.616e-01	2.824e-01	4.128e-01	3.920e-01	4.328e-01	1.896e-01	1.704e-01	2.024e-01	2.336e-01	2.272e-01	2.560e-01	2.896e-01	2.672e-01	3.152e-01	1.520e-01	1.392e-01	1.648e-01	nan	nan	nan	2.518e-01	2.448e-01	2.598e-01	2.290e-01	2.164e-01	2.377e-01	3.015e-01	2.897e-01	3.129e-01	1.223e-01	1.139e-01	1.351e-01	1.239e-01	1.145e-01	1.303e-01	1.471e-01	1.402e-01	1.557e-01	7.445e-02	6.620e-02	8.145e-02	nan	nan	nan	2.022e-01	1.947e-01	2.066e-01	1.572e-01	1.504e-01	1.632e-01	2.100e-01	2.025e-01	2.189e-01	9.895e-02	8.513e-02	1.060e-01	8.594e-02	7.885e-02	9.282e-02	1.035e-01	1.002e-01	1.085e-01	6.598e-02	5.949e-02	6.924e-02	nan	nan	nan
6.000e+03	2.816e-01	2.808e-01	3.024e-01	2.816e-01	2.616e-01	3.008e-01	4.304e-01	4.104e-01	4.336e-01	1.920e-01	1.760e-01	2.032e-01	2.432e-01	2.272e-01	2.608e-01	2.928e-01	2.752e-01	3.144e-01	nan	nan	nan	1.704e-01	1.544e-01	1.872e-01	2.546e-01	2.447e-01	2.599e-01	2.306e-01	2.208e-01	2.421e-01	3.036e-01	2.915e-01	3.149e-01	1.268e-01	1.160e-01	1.374e-01	1.240e-01	1.152e-01	1.341e-01	1.527e-01	1.429e-01	1.587e-01	nan	nan	nan	8.720e-02	8.130e-02	9.435e-02	2.043e-01	1.974e-01	2.086e-01	1.592e-01	1.535e-01	1.660e-01	2.154e-01	2.054e-01	2.223e-01	1.008e-01	8.733e-02	1.072e-01	8.604e-02	7.885e-02	9.196e-02	1.050e-01	1.018e-01	1.112e-01	nan	nan	nan	6.720e-02	6.019e-02	7.323e-02
6.250e+03	2.816e-01	2.640e-01	3.032e-01	2.816e-01	2.608e-01	3.016e-01	4.272e-01	4.104e-01	4.504e-01	1.936e-01	1.768e-01	2.024e-01	2.472e-01	2.336e-01	2.664e-01	2.952e-01	2.792e-01	3.088e-01	1.600e-01	1.440e-01	1.664e-01	1.680e-01	1.488e-01	1.808e-01	2.547e-01	2.448e-01	2.600e-01	2.317e-01	2.243e-01	2.457e-01	3.090e-01	2.982e-01	3.195e-01	1.278e-01	1.170e-01	1.396e-01	1.269e-01	1.155e-01	1.339e-01	1.533e-01	1.439e-01	1.612e-01	7.185e-02	6.605e-02	8.260e-02	9.190e-02	7.975e-02	9.600e-02	2.061e-01	2.007e-01	2.101e-01	1.625e-01	1.556e-01	1.686e-01	2.190e-01	2.107e-01	2.250e-01	1.026e-01	8.926e-02	1.097e-01	8.886e-02	8.022e-02	9.371e-02	1.089e-01	1.027e-01	1.129e-01	6.680e-02	6.286e-02	6.978e-02	6.836e-02	5.999e-02	7.374e-02
6.500e+03	2.816e-01	2.616e-01	3.024e-01	2.808e-01	2.608e-01	2.816e-01	4.304e-01	4.104e-01	4.512e-01	1.960e-01	1.776e-01	2.064e-01	2.424e-01	2.336e-01	2.608e-01	2.888e-01	2.832e-01	3.168e-01	1.600e-01	1.504e-01	1.744e-01	1.736e-01	1.560e-01	1.840e-01	2.548e-01	2.449e-01	2.600e-01	2.337e-01	2.213e-01	2.476e-01	3.117e-01	3.005e-01	3.228e-01	1.277e-01	1.215e-01	1.397e-01	1.278e-01	1.203e-01	1.382e-01	1.543e-01	1.493e-01	1.644e-01	7.705e-02	6.675e-02	8.580e-02	9.355e-02	8.310e-02	9.675e-02	2.092e-01	2.033e-01	2.127e-01	1.658e-01	1.591e-01	1.707e-01	2.202e-01	2.121e-01	2.288e-01	1.040e-01	9.112e-02	1.109e-01	8.890e-02	8.299e-02	9.563e-02	1.100e-01	1.051e-01	1.186e-01	6.768e-02	6.369e-02	7.218e-02	6.996e-02	6.190e-02	7.838e-02
6.750e+03	2.824e-01	2.816e-01	3.024e-01	2.808e-01	2.616e-01	2.824e-01	4.304e-01	4.104e-01	4.520e-01	1.960e-01	1.848e-01	2.120e-01	2.480e-01	2.360e-01	2.752e-01	3.000e-01	2.808e-01	3.160e-01	nan	nan	nan	nan	nan	nan	2.550e-01	2.447e-01	2.600e-01	2.361e-01	2.260e-01	2.494e-01	3.124e-01	3.034e-01	3.237e-01	1.328e-01	1.249e-01	1.411e-01	1.311e-01	1.228e-01	1.419e-01	1.560e-01	1.507e-01	1.656e-01	nan	nan	nan	nan	nan	nan	2.116e-01	2.048e-01	2.161e-01	1.665e-01	1.619e-01	1.728e-01	2.229e-01	2.171e-01	2.316e-01	1.052e-01	9.401e-02	1.114e-01	9.254e-02	8.690e-02	9.807e-02	1.153e-01	1.074e-01	1.213e-01	nan	nan	nan	nan	nan	nan
7.000e+03	2.824e-01	2.816e-01	3.024e-01	2.808e-01	2.616e-01	3.008e-01	4.304e-01	4.104e-01	4.512e-01	1.976e-01	1.848e-01	2.120e-01	2.520e-01	2.416e-01	2.800e-01	2.960e-01	2.816e-01	3.208e-01	1.608e-01	1.544e-01	1.784e-01	1.800e-01	1.624e-01	1.880e-01	2.550e-01	2.449e-01	2.600e-01	2.368e-01	2.268e-01	2.518e-01	3.142e-01	3.042e-01	3.231e-01	1.345e-01	1.249e-01	1.400e-01	1.337e-01	1.257e-01	1.426e-01	1.631e-01	1.548e-01	1.702e-01	7.775e-02	6.770e-02	8.605e-02	9.450e-02	8.425e-02	1.014e-01	2.129e-01	2.082e-01	2.183e-01	1.693e-01	1.648e-01	1.761e-01	2.264e-01	2.202e-01	2.319e-01	1.059e-01	9.521e-02	1.126e-01	9.374e-02	8.860e-02	1.039e-01	1.157e-01	1.095e-01	1.207e-01	6.776e-02	6.375e-02	7.335e-02	7.378e-02	6.694e-02	7.817e-02
7.250e+03	2.824e-01	2.808e-01	3.024e-01	2.808e-01	2.608e-01	3.016e-01	4.304e-01	4.104e-01	4.512e-01	1.968e-01	1.832e-01	2.144e-01	2.600e-01	2.480e-01	2.808e-01	2.960e-01	2.848e-01	3.168e-01	nan	nan	nan	1.840e-01	1.704e-01	1.936e-01	2.550e-01	2.450e-01	2.600e-01	2.413e-01	2.274e-01	2.521e-01	3.150e-01	3.036e-01	3.262e-01	1.348e-01	1.266e-01	1.450e-01	1.339e-01	1.264e-01	1.436e-01	1.660e-01	1.583e-01	1.734e-01	nan	nan	nan	9.520e-02	8.425e-02	1.002e-01	2.157e-01	2.103e-01	2.207e-01	1.731e-01	1.675e-01	1.774e-01	2.288e-01	2.230e-01	2.331e-01	1.070e-01	9.506e-02	1.172e-01	9.601e-02	8.890e-02	1.044e-01	1.152e-01	1.097e-01	1.209e-01	nan	nan	nan	7.301e-02	6.281e-02	8.015e-02
7.500e+03	2.824e-01	2.808e-01	3.016e-01	2.808e-01	2.616e-01	2.824e-01	4.304e-01	4.104e-01	4.512e-01	1.992e-01	1.848e-01	2.176e-01	2.680e-01	2.512e-01	2.808e-01	3.056e-01	2.912e-01	3.240e-01	1.656e-01	1.528e-01	1.784e-01	1.840e-01	1.648e-01	1.944e-01	2.550e-01	2.450e-01	2.600e-01	2.444e-01	2.298e-01	2.541e-01	3.170e-01	3.107e-01	3.231e-01	1.377e-01	1.265e-01	1.494e-01	1.343e-01	1.254e-01	1.457e-01	1.682e-01	1.609e-01	1.742e-01	8.405e-02	7.320e-02	9.210e-02	9.410e-02	8.205e-02	1.005e-01	2.174e-01	2.128e-01	2.221e-01	1.736e-01	1.692e-01	1.796e-01	2.282e-01	2.218e-01	2.355e-01	1.072e-01	9.677e-02	1.162e-01	9.642e-02	8.733e-02	1.022e-01	1.153e-01	1.115e-01	1.211e-01	6.946e-02	6.255e-02	7.588e-02	7.133e-02	6.178e-02	7.854e-02
7.750e+03	2.824e-01	2.808e-01	3.024e-01	2.808e-01	2.608e-01	3.008e-01	4.304e-01	4.104e-01	4.520e-01	2.000e-01	1.840e-01	2.184e-01	2.672e-01	2.536e-01	2.840e-01	3.064e-01	2.912e-01	3.240e-01	nan	nan	nan	nan	nan	nan	2.550e-01	2.500e-01	2.600e-01	2.468e-01	2.365e-01	2.565e-01	3.181e-01	3.110e-01	3.313e-01	1.394e-01	1.265e-01	1.499e-01	1.389e-01	1.245e-01	1.522e-01	1.698e-01	1.645e-01	1.789e-01	nan	nan	nan	nan	nan	nan	2.193e-01	2.152e-01	2.240e-01	1.754e-01	1.724e-01	1.849e-01	2.318e-01	2.239e-01	2.375e-01	1.079e-01	9.890e-02	1.188e-01	9.778e-02	9.062e-02	1.025e-01	1.158e-01	1.118e-01	1.238e-01	nan	nan	nan	nan	nan	nan
