evals.q.250.	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance.max
2.500e+03	4.536e+00	4.469e+00	4.608e+00	4.807e+00	4.703e+00	4.904e+00	5.687e+00	5.483e+00	5.818e+00	4.733e+00	4.544e+00	4.854e+00	6.814e+00	6.665e+00	6.886e+00	6.500e+00	6.362e+00	6.583e+00	6.056e+00	5.977e+00	6.174e+00	nan	nan	nan	nan	nan	nan
2.750e+03	4.511e+00	4.436e+00	4.585e+00	4.734e+00	4.639e+00	4.797e+00	5.599e+00	5.409e+00	5.754e+00	4.690e+00	4.529e+00	4.809e+00	6.718e+00	6.627e+00	6.880e+00	6.407e+00	6.252e+00	6.524e+00	5.995e+00	5.860e+00	6.054e+00	7.030e+00	6.952e+00	7.137e+00	6.993e+00	6.910e+00	7.085e+00
3.000e+03	4.497e+00	4.397e+00	4.547e+00	4.682e+00	4.562e+00	4.754e+00	5.561e+00	5.366e+00	5.705e+00	4.670e+00	4.512e+00	4.782e+00	6.714e+00	6.613e+00	6.821e+00	6.390e+00	6.201e+00	6.466e+00	5.855e+00	5.713e+00	5.949e+00	6.980e+00	6.909e+00	7.054e+00	6.937e+00	6.856e+00	7.034e+00
3.250e+03	4.480e+00	4.412e+00	4.539e+00	4.655e+00	4.541e+00	4.702e+00	5.516e+00	5.302e+00	5.617e+00	4.633e+00	4.484e+00	4.769e+00	6.703e+00	6.592e+00	6.817e+00	6.229e+00	6.087e+00	6.397e+00	5.752e+00	5.690e+00	5.848e+00	nan	nan	nan	6.884e+00	6.768e+00	6.973e+00
3.500e+03	4.451e+00	4.392e+00	4.538e+00	4.592e+00	4.500e+00	4.684e+00	5.451e+00	5.210e+00	5.616e+00	4.602e+00	4.451e+00	4.730e+00	6.666e+00	6.552e+00	6.790e+00	6.115e+00	5.996e+00	6.237e+00	5.689e+00	5.556e+00	5.794e+00	6.910e+00	6.852e+00	6.994e+00	6.789e+00	6.724e+00	6.881e+00
3.750e+03	4.451e+00	4.376e+00	4.542e+00	4.591e+00	4.500e+00	4.667e+00	5.400e+00	5.227e+00	5.591e+00	4.580e+00	4.464e+00	4.725e+00	6.638e+00	6.544e+00	6.772e+00	6.044e+00	5.921e+00	6.143e+00	5.600e+00	5.483e+00	5.723e+00	nan	nan	nan	nan	nan	nan
4.000e+03	4.438e+00	4.358e+00	4.497e+00	4.562e+00	4.464e+00	4.658e+00	5.328e+00	5.162e+00	5.549e+00	4.557e+00	4.462e+00	4.698e+00	6.613e+00	6.491e+00	6.686e+00	5.928e+00	5.849e+00	6.055e+00	5.527e+00	5.456e+00	5.668e+00	6.867e+00	6.758e+00	6.911e+00	6.771e+00	6.651e+00	6.854e+00
4.250e+03	4.405e+00	4.324e+00	4.497e+00	4.551e+00	4.458e+00	4.649e+00	5.299e+00	5.095e+00	5.522e+00	4.554e+00	4.450e+00	4.678e+00	6.557e+00	6.443e+00	6.686e+00	5.857e+00	5.783e+00	5.924e+00	5.479e+00	5.369e+00	5.542e+00	nan	nan	nan	6.724e+00	6.593e+00	6.807e+00
4.500e+03	4.395e+00	4.321e+00	4.477e+00	4.556e+00	4.457e+00	4.622e+00	5.259e+00	5.113e+00	5.473e+00	4.553e+00	4.442e+00	4.671e+00	6.536e+00	6.411e+00	6.613e+00	5.814e+00	5.672e+00	5.877e+00	5.368e+00	5.247e+00	5.473e+00	6.774e+00	6.685e+00	6.868e+00	6.657e+00	6.584e+00	6.758e+00
4.750e+03	4.376e+00	4.285e+00	4.456e+00	4.551e+00	4.449e+00	4.613e+00	5.259e+00	5.072e+00	5.429e+00	4.544e+00	4.412e+00	4.646e+00	6.474e+00	6.391e+00	6.613e+00	5.735e+00	5.618e+00	5.816e+00	5.338e+00	5.147e+00	5.406e+00	6.737e+00	6.657e+00	6.826e+00	nan	nan	nan
5.000e+03	4.351e+00	4.285e+00	4.480e+00	4.551e+00	4.441e+00	4.605e+00	5.245e+00	5.042e+00	5.325e+00	4.541e+00	4.409e+00	4.630e+00	6.459e+00	6.378e+00	6.604e+00	5.654e+00	5.542e+00	5.787e+00	5.242e+00	5.118e+00	5.359e+00	nan	nan	nan	6.617e+00	6.551e+00	6.729e+00
5.250e+03	4.317e+00	4.267e+00	4.448e+00	4.515e+00	4.408e+00	4.579e+00	5.212e+00	5.040e+00	5.368e+00	4.536e+00	4.401e+00	4.626e+00	6.445e+00	6.326e+00	6.571e+00	5.566e+00	5.475e+00	5.695e+00	5.178e+00	5.093e+00	5.311e+00	6.652e+00	6.543e+00	6.767e+00	6.552e+00	6.460e+00	6.655e+00
5.500e+03	4.335e+00	4.269e+00	4.448e+00	4.475e+00	4.419e+00	4.563e+00	5.198e+00	5.037e+00	5.346e+00	4.536e+00	4.393e+00	4.624e+00	6.420e+00	6.378e+00	6.545e+00	5.521e+00	5.413e+00	5.595e+00	5.149e+00	5.056e+00	5.242e+00	nan	nan	nan	6.479e+00	6.372e+00	6.541e+00
5.750e+03	4.335e+00	4.269e+00	4.438e+00	4.480e+00	4.395e+00	4.548e+00	5.148e+00	4.969e+00	5.313e+00	4.533e+00	4.393e+00	4.626e+00	6.414e+00	6.243e+00	6.545e+00	5.452e+00	5.375e+00	5.546e+00	5.079e+00	4.979e+00	5.175e+00	6.603e+00	6.474e+00	6.689e+00	nan	nan	nan
6.000e+03	4.322e+00	4.271e+00	4.425e+00	4.443e+00	4.390e+00	4.531e+00	5.131e+00	4.982e+00	5.296e+00	4.535e+00	4.379e+00	4.628e+00	6.409e+00	6.233e+00	6.498e+00	5.433e+00	5.307e+00	5.525e+00	5.045e+00	4.940e+00	5.114e+00	nan	nan	nan	6.467e+00	6.301e+00	6.535e+00
6.250e+03	4.322e+00	4.271e+00	4.385e+00	4.443e+00	4.390e+00	4.542e+00	5.109e+00	4.986e+00	5.348e+00	4.524e+00	4.383e+00	4.631e+00	6.378e+00	6.197e+00	6.472e+00	5.367e+00	5.255e+00	5.460e+00	4.962e+00	4.915e+00	5.088e+00	6.585e+00	6.474e+00	6.689e+00	6.423e+00	6.262e+00	6.464e+00
6.500e+03	4.321e+00	4.269e+00	4.391e+00	4.425e+00	4.358e+00	4.484e+00	5.165e+00	4.983e+00	5.272e+00	4.519e+00	4.387e+00	4.628e+00	6.354e+00	6.219e+00	6.440e+00	5.298e+00	5.200e+00	5.396e+00	4.932e+00	4.833e+00	5.021e+00	6.530e+00	6.456e+00	6.617e+00	6.386e+00	6.251e+00	6.442e+00
6.750e+03	4.330e+00	4.269e+00	4.391e+00	4.415e+00	4.354e+00	4.512e+00	5.084e+00	4.976e+00	5.259e+00	4.514e+00	4.387e+00	4.626e+00	6.354e+00	6.219e+00	6.398e+00	5.274e+00	5.117e+00	5.350e+00	4.912e+00	4.823e+00	5.005e+00	nan	nan	nan	nan	nan	nan
7.000e+03	4.350e+00	4.272e+00	4.391e+00	4.432e+00	4.347e+00	4.484e+00	5.076e+00	4.952e+00	5.249e+00	4.511e+00	4.391e+00	4.629e+00	6.330e+00	6.172e+00	6.391e+00	5.222e+00	5.105e+00	5.340e+00	4.898e+00	4.811e+00	4.990e+00	6.465e+00	6.356e+00	6.584e+00	6.297e+00	6.155e+00	6.376e+00
7.250e+03	4.362e+00	4.269e+00	4.394e+00	4.431e+00	4.335e+00	4.466e+00	5.060e+00	4.950e+00	5.228e+00	4.503e+00	4.391e+00	4.630e+00	6.279e+00	6.144e+00	6.378e+00	5.154e+00	5.102e+00	5.276e+00	4.898e+00	4.802e+00	4.951e+00	nan	nan	nan	6.250e+00	6.093e+00	6.340e+00
7.500e+03	4.366e+00	4.269e+00	4.406e+00	4.423e+00	4.335e+00	4.460e+00	5.083e+00	4.937e+00	5.215e+00	4.499e+00	4.390e+00	4.624e+00	6.271e+00	6.079e+00	6.378e+00	5.145e+00	5.079e+00	5.236e+00	4.854e+00	4.778e+00	4.951e+00	6.411e+00	6.328e+00	6.497e+00	6.178e+00	6.028e+00	6.305e+00
7.750e+03	4.362e+00	4.269e+00	4.398e+00	4.396e+00	4.335e+00	4.456e+00	5.050e+00	4.951e+00	5.178e+00	4.499e+00	4.391e+00	4.621e+00	6.229e+00	6.059e+00	6.367e+00	5.103e+00	5.037e+00	5.190e+00	4.855e+00	4.772e+00	4.923e+00	nan	nan	nan	nan	nan	nan
8.000e+03	4.350e+00	4.275e+00	4.387e+00	4.396e+00	4.335e+00	4.440e+00	5.055e+00	4.918e+00	5.171e+00	4.490e+00	4.392e+00	4.617e+00	6.192e+00	5.993e+00	6.340e+00	5.070e+00	4.962e+00	5.153e+00	4.810e+00	4.754e+00	4.895e+00	6.347e+00	6.238e+00	6.444e+00	6.112e+00	6.015e+00	6.285e+00
8.250e+03	4.333e+00	4.275e+00	4.385e+00	4.397e+00	4.347e+00	4.454e+00	5.028e+00	4.920e+00	5.164e+00	4.482e+00	4.390e+00	4.615e+00	6.178e+00	5.974e+00	6.319e+00	5.043e+00	4.907e+00	5.109e+00	4.791e+00	4.705e+00	4.870e+00	nan	nan	nan	6.074e+00	5.994e+00	6.210e+00
8.500e+03	4.331e+00	4.275e+00	4.377e+00	4.390e+00	4.346e+00	4.445e+00	4.997e+00	4.893e+00	5.167e+00	4.481e+00	4.389e+00	4.615e+00	6.155e+00	5.974e+00	6.275e+00	4.970e+00	4.892e+00	5.072e+00	4.757e+00	4.687e+00	4.867e+00	6.302e+00	6.195e+00	6.381e+00	6.019e+00	5.915e+00	6.179e+00
8.750e+03	4.331e+00	4.275e+00	4.369e+00	4.378e+00	4.342e+00	4.438e+00	5.017e+00	4.912e+00	5.137e+00	4.478e+00	4.386e+00	4.608e+00	6.160e+00	5.982e+00	6.275e+00	4.956e+00	4.885e+00	5.065e+00	4.738e+00	4.649e+00	4.865e+00	6.230e+00	6.174e+00	6.308e+00	nan	nan	nan
9.000e+03	4.326e+00	4.260e+00	4.367e+00	4.372e+00	4.328e+00	4.423e+00	5.008e+00	4.918e+00	5.130e+00	4.483e+00	4.379e+00	4.605e+00	6.107e+00	5.955e+00	6.245e+00	4.964e+00	4.857e+00	5.045e+00	4.728e+00	4.665e+00	4.817e+00	nan	nan	nan	6.004e+00	5.910e+00	6.092e+00
9.250e+03	4.313e+00	4.260e+00	4.369e+00	4.358e+00	4.310e+00	4.419e+00	4.993e+00	4.917e+00	5.088e+00	4.478e+00	4.375e+00	4.604e+00	6.081e+00	5.955e+00	6.242e+00	4.902e+00	4.778e+00	5.027e+00	4.722e+00	4.635e+00	4.784e+00	6.198e+00	6.120e+00	6.251e+00	5.975e+00	5.861e+00	6.029e+00
9.500e+03	4.320e+00	4.240e+00	4.367e+00	4.361e+00	4.309e+00	4.397e+00	5.004e+00	4.902e+00	5.103e+00	4.474e+00	4.375e+00	4.599e+00	6.066e+00	5.931e+00	6.242e+00	4.870e+00	4.759e+00	4.988e+00	4.677e+00	4.604e+00	4.787e+00	nan	nan	nan	5.933e+00	5.851e+00	5.978e+00
9.750e+03	4.313e+00	4.240e+00	4.362e+00	4.361e+00	4.309e+00	4.397e+00	4.986e+00	4.910e+00	5.113e+00	4.472e+00	4.372e+00	4.595e+00	6.044e+00	5.900e+00	6.225e+00	4.836e+00	4.738e+00	4.968e+00	4.686e+00	4.605e+00	4.759e+00	6.163e+00	6.072e+00	6.203e+00	5.893e+00	5.853e+00	5.950e+00
1.000e+04	4.313e+00	4.240e+00	4.360e+00	4.361e+00	4.309e+00	4.397e+00	4.980e+00	4.895e+00	5.107e+00	4.471e+00	4.368e+00	4.601e+00	6.024e+00	5.868e+00	6.197e+00	4.836e+00	4.738e+00	4.941e+00	4.670e+00	4.591e+00	4.737e+00	nan	nan	nan	nan	nan	nan
1.025e+04	4.320e+00	4.236e+00	4.360e+00	4.361e+00	4.304e+00	4.405e+00	4.979e+00	4.885e+00	5.105e+00	4.472e+00	4.368e+00	4.595e+00	6.024e+00	5.864e+00	6.183e+00	4.836e+00	4.733e+00	4.938e+00	4.651e+00	4.589e+00	4.707e+00	6.126e+00	6.052e+00	6.174e+00	5.859e+00	5.762e+00	5.901e+00
1.050e+04	4.320e+00	4.236e+00	4.347e+00	4.363e+00	4.297e+00	4.399e+00	4.999e+00	4.897e+00	5.089e+00	4.464e+00	4.364e+00	4.594e+00	5.981e+00	5.807e+00	6.183e+00	4.829e+00	4.724e+00	4.890e+00	4.661e+00	4.545e+00	4.685e+00	6.089e+00	6.021e+00	6.152e+00	5.809e+00	5.691e+00	5.868e+00
1.075e+04	4.313e+00	4.240e+00	4.363e+00	4.363e+00	4.297e+00	4.397e+00	4.985e+00	4.860e+00	5.090e+00	4.464e+00	4.365e+00	4.594e+00	6.024e+00	5.819e+00	6.183e+00	4.777e+00	4.723e+00	4.870e+00	4.640e+00	4.544e+00	4.693e+00	nan	nan	nan	5.766e+00	5.654e+00	5.836e+00
1.100e+04	4.313e+00	4.254e+00	4.364e+00	4.344e+00	4.297e+00	4.397e+00	4.970e+00	4.860e+00	5.092e+00	4.455e+00	4.365e+00	4.593e+00	5.961e+00	5.819e+00	6.182e+00	4.760e+00	4.702e+00	4.851e+00	4.630e+00	4.561e+00	4.673e+00	6.046e+00	5.946e+00	6.125e+00	nan	nan	nan
1.125e+04	4.313e+00	4.254e+00	4.360e+00	4.361e+00	4.294e+00	4.403e+00	4.975e+00	4.876e+00	5.120e+00	4.453e+00	4.365e+00	4.592e+00	6.001e+00	5.819e+00	6.170e+00	4.714e+00	4.659e+00	4.822e+00	4.623e+00	4.567e+00	4.690e+00	nan	nan	nan	5.713e+00	5.635e+00	5.779e+00
1.150e+04	4.321e+00	4.250e+00	4.336e+00	4.358e+00	4.282e+00	4.397e+00	4.970e+00	4.837e+00	5.075e+00	4.452e+00	4.366e+00	4.591e+00	5.961e+00	5.834e+00	6.049e+00	4.687e+00	4.606e+00	4.766e+00	4.629e+00	4.567e+00	4.697e+00	6.016e+00	5.888e+00	6.046e+00	5.675e+00	5.580e+00	5.779e+00
1.175e+04	4.313e+00	4.235e+00	4.336e+00	4.358e+00	4.294e+00	4.397e+00	4.972e+00	4.846e+00	5.058e+00	4.451e+00	4.367e+00	4.587e+00	5.944e+00	5.834e+00	6.113e+00	4.686e+00	4.606e+00	4.794e+00	4.602e+00	4.545e+00	4.699e+00	nan	nan	nan	5.635e+00	5.575e+00	5.735e+00
1.200e+04	4.313e+00	4.234e+00	4.332e+00	4.341e+00	4.294e+00	4.389e+00	4.950e+00	4.852e+00	5.066e+00	4.448e+00	4.367e+00	4.584e+00	5.941e+00	5.771e+00	6.113e+00	4.651e+00	4.606e+00	4.794e+00	4.602e+00	4.545e+00	4.694e+00	5.871e+00	5.732e+00	6.004e+00	nan	nan	nan
1.225e+04	4.295e+00	4.234e+00	4.332e+00	4.341e+00	4.282e+00	4.389e+00	4.950e+00	4.855e+00	5.068e+00	4.442e+00	4.367e+00	4.586e+00	5.909e+00	5.766e+00	6.127e+00	4.637e+00	4.599e+00	4.735e+00	4.602e+00	4.539e+00	4.685e+00	5.833e+00	5.724e+00	5.918e+00	5.629e+00	5.533e+00	5.713e+00
1.250e+04	4.309e+00	4.235e+00	4.336e+00	4.332e+00	4.281e+00	4.389e+00	4.950e+00	4.861e+00	5.069e+00	4.442e+00	4.368e+00	4.586e+00	5.905e+00	5.736e+00	6.102e+00	4.619e+00	4.563e+00	4.728e+00	4.595e+00	4.517e+00	4.669e+00	nan	nan	nan	5.589e+00	5.509e+00	5.701e+00
1.275e+04	4.293e+00	4.235e+00	4.332e+00	4.332e+00	4.274e+00	4.389e+00	4.951e+00	4.863e+00	5.054e+00	4.441e+00	4.369e+00	4.585e+00	5.888e+00	5.759e+00	6.110e+00	4.632e+00	4.563e+00	4.728e+00	4.581e+00	4.510e+00	4.649e+00	5.776e+00	5.659e+00	5.906e+00	5.547e+00	5.509e+00	5.663e+00
1.300e+04	4.285e+00	4.237e+00	4.324e+00	4.332e+00	4.278e+00	4.389e+00	4.958e+00	4.831e+00	5.065e+00	4.438e+00	4.369e+00	4.583e+00	5.872e+00	5.736e+00	6.021e+00	4.633e+00	4.563e+00	4.727e+00	4.537e+00	4.479e+00	4.595e+00	nan	nan	nan	nan	nan	nan
1.325e+04	4.278e+00	4.235e+00	4.324e+00	4.332e+00	4.282e+00	4.384e+00	4.940e+00	4.842e+00	5.071e+00	4.440e+00	4.368e+00	4.580e+00	5.864e+00	5.736e+00	5.994e+00	4.613e+00	4.562e+00	4.700e+00	4.530e+00	4.454e+00	4.594e+00	5.738e+00	5.639e+00	5.871e+00	5.512e+00	5.474e+00	5.598e+00
1.350e+04	4.278e+00	4.236e+00	4.324e+00	4.333e+00	4.278e+00	4.384e+00	4.964e+00	4.827e+00	5.045e+00	4.437e+00	4.368e+00	4.580e+00	5.864e+00	5.726e+00	5.994e+00	4.633e+00	4.552e+00	4.700e+00	4.516e+00	4.449e+00	4.606e+00	nan	nan	nan	5.493e+00	5.442e+00	5.592e+00
1.375e+04	4.278e+00	4.235e+00	4.324e+00	4.333e+00	4.239e+00	4.385e+00	4.956e+00	4.861e+00	5.047e+00	4.437e+00	4.369e+00	4.576e+00	5.864e+00	5.710e+00	5.994e+00	4.609e+00	4.549e+00	4.695e+00	4.516e+00	4.439e+00	4.606e+00	5.696e+00	5.634e+00	5.855e+00	5.472e+00	5.357e+00	5.519e+00
1.400e+04	4.277e+00	4.228e+00	4.324e+00	4.333e+00	4.278e+00	4.385e+00	4.947e+00	4.831e+00	5.047e+00	4.438e+00	4.369e+00	4.577e+00	5.836e+00	5.688e+00	5.974e+00	4.591e+00	4.546e+00	4.692e+00	4.516e+00	4.421e+00	4.588e+00	5.669e+00	5.611e+00	5.829e+00	nan	nan	nan
1.425e+04	4.277e+00	4.227e+00	4.316e+00	4.337e+00	4.239e+00	4.385e+00	4.969e+00	4.835e+00	5.056e+00	4.436e+00	4.367e+00	4.578e+00	5.836e+00	5.664e+00	5.990e+00	4.585e+00	4.546e+00	4.689e+00	4.515e+00	4.421e+00	4.590e+00	nan	nan	nan	5.462e+00	5.357e+00	5.513e+00
1.450e+04	4.267e+00	4.227e+00	4.315e+00	4.337e+00	4.239e+00	4.385e+00	4.954e+00	4.811e+00	5.051e+00	4.432e+00	4.368e+00	4.578e+00	5.770e+00	5.656e+00	5.955e+00	4.602e+00	4.548e+00	4.689e+00	4.516e+00	4.454e+00	4.612e+00	5.657e+00	5.576e+00	5.745e+00	5.409e+00	5.313e+00	5.511e+00
1.475e+04	4.267e+00	4.222e+00	4.315e+00	4.332e+00	4.243e+00	4.385e+00	4.968e+00	4.820e+00	5.045e+00	4.433e+00	4.368e+00	4.577e+00	5.834e+00	5.656e+00	5.939e+00	4.602e+00	4.548e+00	4.683e+00	4.516e+00	4.450e+00	4.617e+00	nan	nan	nan	5.407e+00	5.307e+00	5.467e+00
1.500e+04	4.267e+00	4.207e+00	4.313e+00	4.332e+00	4.239e+00	4.385e+00	4.956e+00	4.833e+00	5.051e+00	4.432e+00	4.368e+00	4.576e+00	5.760e+00	5.630e+00	6.023e+00	4.584e+00	4.511e+00	4.657e+00	4.516e+00	4.439e+00	4.612e+00	5.644e+00	5.537e+00	5.734e+00	nan	nan	nan
1.525e+04	4.278e+00	4.207e+00	4.316e+00	4.332e+00	4.239e+00	4.385e+00	4.981e+00	4.827e+00	5.056e+00	4.431e+00	4.368e+00	4.576e+00	5.760e+00	5.598e+00	6.023e+00	4.570e+00	4.484e+00	4.628e+00	4.517e+00	4.448e+00	4.612e+00	nan	nan	nan	5.334e+00	5.275e+00	5.407e+00
1.550e+04	4.278e+00	4.227e+00	4.336e+00	4.323e+00	4.239e+00	4.385e+00	4.961e+00	4.814e+00	5.043e+00	4.430e+00	4.368e+00	4.575e+00	5.739e+00	5.580e+00	5.948e+00	4.556e+00	4.456e+00	4.609e+00	4.493e+00	4.448e+00	4.596e+00	5.587e+00	5.520e+00	5.713e+00	5.314e+00	5.271e+00	5.392e+00
